x_mm,y_mm,z_mm,base_yaw_deg,shoulder_pitch_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg
-197.32692367715677,40.57087222976294,273.1133225358026,-11.618240582628259,-18.82613327178245,-102.90710789726424,-40.16541835873664,-95.09432148101813
227.3876951841222,383.6324420157749,147.6602018729111,59.34381095505113,6.364064193976737,-27.790676064045293,12.662514913496683,93.08858410776583
17.71127584532397,89.87367451539417,427.3966147406549,78.85165722607715,3.7912682538965883,-76.5449390318242,-24.64322688494344,107.21091093474126
187.99795466246331,284.5125939604292,-59.11606427990385,56.544388853529725,77.35364611189122,-115.29407096602397,57.657091070565045,5.794925612292479
422.83976354367064,-88.1387761251867,99.79323596222768,-11.774413100938949,20.609887571865222,1.9945480664147368,-38.55693226186779,-84.25376391346421
-51.60840690071737,191.69279028209525,466.6229328535762,105.06815638011312,-23.63236231620053,-52.76889426467878,4.337810959251541,111.01430055685756
156.53841591322205,311.09328709457805,320.7685538775007,63.28900706264769,2.0609337232333504,-16.73013856905824,-36.942887224516575,30.559430593304608
-40.767718746918206,-256.0318195677632,-184.6868000164646,-99.0472054983038,98.46414255305099,-22.15564077884065,-55.440017498315356,10.240939382672963
-152.28317328290956,-194.2763521941774,-291.7011855081724,-128.09105987524902,60.206143458487645,0.0016957710457498026,-5.125698994545656,61.53884303475384
276.45999967762947,175.04191719277082,-22.749953753655483,32.34013345747726,93.80846838919369,-58.80183667006135,-42.327794174986,-112.03344262725749
18.093190983954354,-307.6443314321471,-195.26563929794546,-86.63419531394993,24.243695459370603,-21.171877756450364,56.9176141715359,65.76905139183265
-177.17066417556035,-55.42935929003859,-258.99736352663285,17.372739068418237,79.89983987743028,1.6870804245569042,59.84912206910381,-9.236724445412609
208.49917457618224,-137.58098854071775,-236.70027343580236,146.58063822025326,100.21712333087204,-10.497998190063516,57.63035178828873,-74.85677782819972
-261.10520262738936,278.51589233838223,182.13233784877175,133.15201238698603,43.650975983558595,-85.66233085466813,17.425800777308844,-45.48558243137921
-62.947443526257956,-134.92140350962015,287.60396098992044,64.98864374690524,8.381316796534431,-110.56491919206643,-47.31034452497366,-19.009772613754514
-27.696613491449355,-377.61706654583253,-86.562814262773,-94.19489139086134,17.371975594321405,-42.43321305150822,65.1197245631419,-89.68303186633413
297.52782327914616,127.75422522578056,-139.05849223751366,23.23799903754727,51.26728709085633,-87.37812759353906,80.20386865399526,-26.171846039746384
14.517311995567354,156.64716763712784,167.74215720243834,-95.29477558978289,26.163856061327476,-101.8068960144833,-93.58808667640302,76.18500433665463
78.98743973341283,343.0653513738129,109.98880254369799,77.03416444907553,74.56849148968506,-111.7035133940989,21.107700834957242,-70.10435257039747
-30.02495747528764,137.31747575485505,-278.9749601863143,102.33381491738946,29.470193755397347,5.146001227375512,58.00485214509115,42.6566395418131
368.4816294073102,120.76442360591419,-97.92506912349688,18.145794421875337,-6.579902290578356,27.08490740777503,18.66196935506515,-66.27468583441657
-39.46288206252176,143.5120645007971,272.93501379704054,-74.62483839260405,26.994737570569708,-130.09756495985692,-41.94432890232489,100.83844314369539
-149.03830003899978,-354.77450545205687,61.52611718494205,-112.78693696663352,-7.43015728349648,-59.69428183410668,90.96511854965986,-56.57744578456604
285.98739447102963,153.5439640493561,-210.53484194768396,28.230936205790677,45.52329354129247,-33.40705032474476,37.62812056358053,47.204024786931846
-15.572629676382586,-16.97930919718097,413.41300256185576,47.47440520772947,-11.971019946014765,-59.30931182337459,-51.73217242519174,-19.560218396824627
29.600880818889248,308.5780649667057,276.04253552476814,84.52057002835902,28.746849765423107,-29.982178607801867,-57.44390346829718,-14.481963507317483
115.29522102444383,102.85092455399773,435.5328037835447,41.73506149717783,-18.672457901183908,-111.66560154226133,62.464078456993,107.24907444314685
31.998425139277018,-34.48166891338284,416.95152471554576,-47.13918576427989,9.590601452475681,-100.79735069516396,-10.31141947020979,-95.50695501001914
216.0632811570419,149.49626761396203,-280.7404525949413,34.679733413423705,50.767602674549565,9.477526275825065,-5.595850679240718,-38.95546177224865
136.7372171245194,-398.0116737513966,38.895860513714936,-71.03980153171939,45.435888068961354,-61.18055966283095,15.045970905278136,30.064286479836763
0.372133296669787,-3.217838084244931,406.837440346901,-83.4032202044218,6.293821107780427,-134.6371442696358,26.8914220877603,54.58882345250669
312.08771264224276,-157.58952057502333,112.3909112539464,-26.791614358704976,55.39565064857679,-132.03199208653206,69.14647033065499,-91.39281828072845
-65.8305822505275,-178.85588030344715,-303.6664820410494,-110.2068930610711,47.44156472448242,-7.164421008213044,36.61821233421185,23.147654138513968
47.786624015598214,-296.21746927521286,-158.9815928360281,-80.83584074631545,84.22512846746407,-102.0803651436852,55.38178212307065,58.06381847735053
156.56660043467852,-154.04836819395186,274.91091930395197,-44.5354991459445,63.65538480601771,-81.96412694012047,-49.95408884099029,9.027320687529347
113.62757386619269,-188.36973883870155,-299.7785286558949,121.0990371522444,104.15050166493424,6.425194459116133,17.068929361175098,-102.83545823694678
191.6431439323843,316.5871301997729,178.7962081424135,58.81176469987043,12.726868940601147,35.58146469210787,-85.94602468271347,-53.42335963497572
-51.859399518666024,-321.8999409281729,-206.40427752799698,-99.15194737419738,51.33103781583491,18.167470044621005,-37.87950422841719,26.859596095752217
-63.72500955973312,179.38516791277226,253.5881761311648,-70.44286351806817,4.985120572880859,-130.62899717316844,-30.376492059982414,-98.01788515919175
-14.656240184011754,320.9000724427731,379.42749634882466,92.61501202379979,-17.26081749488503,-58.93784548187447,33.79756571129611,-65.17329044867196
393.4141132456351,-21.64928877542418,248.58058941251073,-3.14976769683961,-6.451431512887004,-63.710790009582276,54.06832157565359,-109.2810814895164
-195.27757069655433,-102.19915082431174,224.30597162616206,27.625457408041846,-11.145348308186065,-127.16258177833951,-28.207578101462484,41.41935883679747
-180.2800791092814,-189.9925925100127,-220.21853680607884,-133.49743583153696,43.84688841381275,-54.212089593755074,76.23778525778573,91.85294159910976
33.70112460058538,24.87836488626177,287.4457162838446,36.43495778772218,103.16743392776567,-122.4204501074937,-71.78826491124433,39.136797623163424
-175.48518118705977,-123.78667205336744,-248.63840848419176,35.19901766890773,81.09094916215447,14.690535827464155,48.56651365476868,85.53619296626799
-35.16421915879913,32.15119581885814,363.8430459058824,-42.437163946261066,25.027086421875705,-130.1905369739574,-11.445033315470445,83.81445004176805
-21.163786851091302,62.459365975544394,423.7676638412433,108.71848155874646,-2.57519796856173,-57.36095205635241,-46.21964315510027,31.248092288317945
-364.9246829139009,-232.82798399601975,34.32606263638867,-147.46145086763642,-9.574576767896712,-7.934024319274382,37.87416676280307,84.05158393745833
30.618276827495723,-12.627026609667334,-312.56887179925053,-22.411329644334774,72.89883734165042,-45.24665125887622,75.84622730966991,28.476803596482437
-49.085986002645896,-40.99634658123048,-289.1567331971543,-140.13155245802275,35.6531824515657,9.495776347679266,60.51738588857638,-104.68117072786383
11.449516775326643,-348.973573307901,370.7108742636039,-88.1208498112531,-32.865886074690984,13.189624735089602,-26.521664024266112,-30.01767239640269
-148.6712654850828,-156.25498699301522,243.69659927191768,-133.5753090288287,97.11547566401478,-126.27693411650769,-24.437390905036278,-85.83698226346222
170.85311327385483,-291.67096403196587,-152.38055326520043,-59.639359686022786,60.49363511605821,-76.94229476398462,55.22717056826074,74.75415501741432
-284.7355119845167,-198.74352128663907,365.56336401491444,-145.08521165993264,-16.271964635014005,-17.88770935705686,-13.736203845960814,118.58929131993565
29.339261987011724,-157.0539592087561,452.382567340466,-79.41853672935812,-30.143761160237613,-97.21319568277703,61.957286235578884,-55.067933301417874
16.96251153617549,149.255853802554,356.10289965256123,83.5163127131635,10.71466651954321,-19.884722951906586,-86.46320907848198,-103.81836489787067
-293.5437603084886,-294.2076362538649,103.42075393555427,-134.93528339730597,38.02730806852661,-75.05953818677854,30.153805511590974,60.5246068646486
123.26438109993832,-12.276840409912806,440.6540648951503,-5.687766471923552,-3.950604640776192,-62.29065972264532,-26.07051294543121,-93.44657404403247
-0.9268608178234581,12.32145458948581,386.2258979900056,-85.69812271514142,-17.601749104742563,-22.41127743998705,-88.13936757504291,21.36855352497462
-58.15034230054663,-56.184780396156036,-325.10404117200835,-135.9848881642383,85.92289627969188,-57.700680856028356,60.25464264831576,61.129395520852306
43.71046186901469,224.9515969720128,-173.12057695233872,79.00385307000616,102.84019891529208,-134.4852206332211,78.3322208792264,39.976864263328146
128.4543396547685,251.7376175497646,397.0256144602474,62.96610955116255,-15.621278123374658,-5.8560925220838875,-44.55668934805623,-64.97432710739844
319.34180354456356,53.169464696949845,-24.16512142521464,9.45286566904281,-32.910915415587326,-1.2547642489026845,85.03977367536703,43.85034109150832
-64.06153676300654,-164.09718346582108,110.02560701823275,68.67493350670854,-9.540268360794947,-91.25164213461271,-94.18122832042799,38.04059827435882
140.11098390048022,95.14902552463371,406.8984666662748,34.1803298485891,-26.173235176384505,-126.1660129022548,93.32075545243255,-81.56237673279618
124.48669005669953,-22.6048033717936,-275.24645168991765,-10.291863123710508,74.06154397700067,-81.51288645604893,92.5863496796037,-46.32147438256183
159.15629316633812,-362.00356532695156,-56.26912283060644,-66.26711945265681,-1.3867976971734925,-13.242819080581127,52.21991642264299,-72.54105898512753
22.00445666186234,-177.64503766243516,-248.2501803687523,-82.9388785689448,86.4574024239897,37.9609238220217,-85.81460026681775,32.65667631985087
-243.03002781717535,332.18369759041036,43.320811579338454,126.18970061550297,27.109008263528754,21.838651591378827,-61.06489105542622,25.803974624357092
-219.9733324196481,-280.86544705092615,-189.43374321799195,-128.0679857813916,28.739915831166734,13.632631763961742,-1.9268384417323399,90.61380658076013
172.47593042947557,-360.85374863860255,13.870936985486312,-64.45377225082258,-12.18197432783956,-22.84503007222996,65.95352734569465,22.91586369263525
-148.92819361984752,96.48148430734432,-301.4463534843999,147.06326175381267,84.93647952202996,-60.88888867948869,44.69770035576094,-50.198020251690515
-3.7636610074850227,-13.342384844679838,-303.6351347511255,74.24713873448694,73.56888813703354,-41.62573359648705,81.00152753251146,-26.547690840940696
-96.72692405981661,351.9112330691252,-161.56264718818048,105.36888475209777,11.176888200016645,23.80637639400054,8.204975280231206,-39.94291528927436
-139.71895548925198,-335.8698751845767,-179.8923728382158,-112.58688697310531,28.09086240036781,17.172969258426797,-7.825558923883086,39.048347522375
11.972527064657946,379.25475530532196,96.18073831154662,88.19185515165996,-32.726274864435176,-24.4345210098145,81.55987434464213,-24.31008435296567
0.45535604563150256,-0.9991263077991919,-261.3111216628132,114.50132738329964,33.076609540831406,15.715598191107992,71.44655493195418,-82.12145878340533
-274.2612402273834,174.70016260448384,341.43157069061135,147.50349477920906,6.272547615620263,-34.61787826469487,-27.398241678477735,-69.66414623770063
333.27813598866663,-48.187783740325706,-123.00196433476408,-8.22722647139064,35.31602672021019,-72.45231809627866,83.06524780883484,-90.59739030305819
-18.964592453349425,277.8711428611778,-211.5089041537969,93.90435897662088,84.13401938194265,-83.4032681877995,44.7568605000635,19.196652840047843
89.12931238589155,195.8017435185746,-270.73867030051355,65.52488493040453,72.7810520341101,30.457568680777594,-60.27043079190522,-83.81398520647605
83.23671105685307,-309.42845101124163,330.90424557891487,-74.94376198787737,17.27172242829769,-67.95184575750385,-0.433391589264722,-49.078356721128706
-199.90846147334284,-228.00502811128985,-50.41402221023363,-131.24338259899648,76.25106974661328,9.39681952108276,-93.24591203733803,49.26889949279917
-272.48515302903496,346.4057883821222,189.46807488137108,128.18883133939886,-0.4469834289701835,-18.142771071030445,2.8194951236025285,67.59354855998029
359.03924088608625,-133.3510466852681,190.22410287446243,-20.375539722797715,8.8172219919215,-93.13766194047751,75.601415381154,-61.280402996243566
243.77655128129837,-278.36635125511623,-104.98883704878105,-48.79006978564292,12.165672289968185,-28.219707532467396,60.80343696175014,-89.15947553633565
114.47517602998181,92.75802052223062,-325.8859321371355,-140.98251690365072,96.96816148592215,-10.911540011240657,34.48807984875004,98.14432414669729
-30.170776606120185,-315.5311980329495,229.27429152573544,-95.46195913153225,41.876850084101896,-132.75188736269453,61.62431321297679,-30.670380517270186
132.58292769601053,262.60133128555606,-189.1322321727289,63.21156955548147,87.79342996959777,-85.5134393207708,36.22928797556627,-51.83157974707212
-292.0923540335338,-198.73340211564403,-63.23526186221523,-145.7694651641076,51.130994541343675,29.346208186063823,-80.99441653455227,-79.75104220753038
-180.4281853619264,114.7445393228273,247.5355183998334,-32.45459978653655,-20.49730384086534,-105.20834402523803,-41.72060362984922,105.28179816877778
-6.0429227619466,7.489550125759874,-360.6051268045445,-51.10177161279444,97.15221112066595,8.0055060733783,-19.967970389716246,58.52306348477376
-71.52030843109242,351.3985831097115,32.7668662874486,101.50429913532172,42.94578029450491,31.05777390517576,-92.31496069954154,11.636367339139442
0.14013191282741977,-12.789419842609874,294.14306922556597,-89.37224315082564,46.79492787733191,-75.2576581569803,-88.57964737615404,61.09639714628019
156.99371156392607,-48.84576760814675,358.2542414814957,-17.282589637884058,37.360114005489926,-89.47691790009988,-30.591126793443312,30.317341133302406
-52.47370198262949,-62.640827093898956,297.5794561934413,-129.95262950406172,85.52130838986065,-115.42454196384894,-58.32537594256946,-112.5415050357352
-205.697421130139,206.0102016517805,102.62304988771601,134.95647153619586,71.12086117556723,-16.53400643134357,-93.59647921725033,65.46971698165426
-137.29462897750994,-108.22499460271982,-262.67104358125914,-141.75241001961433,24.407048067326354,3.0440860951018296,59.91244137819809,107.57659093726674
146.24439873094335,-37.4444157553471,-338.3661951594463,-14.361487360033827,69.27019096139027,-5.599055124296165,9.300634437456221,-65.8545868083379
392.13261038220355,193.16073922010548,122.14226124665763,26.224412166855117,-27.65586070423824,10.854453972363666,24.801630774092256,19.297776927393695
-175.18639661866396,11.34290064490797,219.45489047224018,-3.704593748492826,-17.761163133526683,-73.35850055396777,-84.20001062054185,-58.20781790105741
-219.52168332550653,-310.8264621364684,-71.6383346286838,-125.23171064290044,9.645201578067496,-36.2351174571181,66.82135002477115,-24.947173053722832
58.223586170824895,-225.57558648094272,177.98865426307088,-75.52719794743248,98.14399813412612,-82.84569465204822,-65.64177136256556,104.49431607700788
345.3336129948108,-178.77783882995666,211.75691744017456,-27.37042305106357,-34.83419801938808,-33.41392806721786,69.88998243787047,39.48013514396502
302.2693079617936,-208.41099495448944,331.1938141829219,-34.5857887477123,-23.327908200196774,-44.30243530167462,39.35773435761124,89.81446063863982
-338.9885761951497,-236.19410403931855,256.8769534496605,-145.1327108090575,-11.274258090493097,8.214599369195597,-28.113128269113204,44.070805118624115
