x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,60.0,0.0,1,0,-86,2014,1094,1652,754,{#000P2014T1500!#001P1094T1500!#002P1652T1500!#003P0754T1500!}
-160.0,60.0,20.0,1,0,-83,2014,1125,1605,698,{#000P2014T1500!#001P1125T1500!#002P1605T1500!#003P0698T1500!}
-160.0,60.0,40.0,1,0,-79,2014,1157,1556,647,{#000P2014T1500!#001P1157T1500!#002P1556T1500!#003P0647T1500!}
-160.0,60.0,60.0,1,0,-73,2014,1251,1648,689,{#000P2014T1500!#001P1251T1500!#002P1648T1500!#003P0689T1500!}
-160.0,60.0,80.0,1,0,-68,2014,1261,1552,620,{#000P2014T1500!#001P1261T1500!#002P1552T1500!#003P0620T1500!}
-160.0,60.0,100.0,1,0,-61,2014,1342,1619,658,{#000P2014T1500!#001P1342T1500!#002P1619T1500!#003P0658T1500!}
-160.0,60.0,120.0,1,0,-54,2014,1395,1630,668,{#000P2014T1500!#001P1395T1500!#002P1630T1500!#003P0668T1500!}
-160.0,60.0,140.0,1,0,-47,2014,1433,1619,671,{#000P2014T1500!#001P1433T1500!#002P1619T1500!#003P0671T1500!}
-160.0,60.0,160.0,1,0,-40,2014,1463,1600,674,{#000P2014T1500!#001P1463T1500!#002P1600T1500!#003P0674T1500!}
-160.0,60.0,180.0,1,0,-33,2014,1487,1583,685,{#000P2014T1500!#001P1487T1500!#002P1583T1500!#003P0685T1500!}
-160.0,60.0,200.0,0,8,,,,,,
-160.0,60.0,220.0,0,8,,,,,,
-160.0,60.0,240.0,0,8,,,,,,
-160.0,60.0,260.0,0,8,,,,,,
-160.0,60.0,280.0,0,8,,,,,,
-160.0,60.0,300.0,0,8,,,,,,
-160.0,60.0,320.0,0,8,,,,,,
-160.0,60.0,340.0,0,8,,,,,,
-160.0,60.0,360.0,0,8,,,,,,
-160.0,80.0,0.0,1,0,-84,1969,1074,1610,747,{#000P1969T1500!#001P1074T1500!#002P1610T1500!#003P0747T1500!}
