label,x_mm,y_mm,z_mm,held_book_visible,return_book_visible,placed_book_visible,horizontal_end_link,base_only_from_previous
pick_insert_ready,246.13633867880284,43.340423207148476,160.0,0,1,0,1,0
pick_approach,280.6060472953615,49.40995266910354,115.0,0,1,0,1,0
pick,320.0,56.346557768480764,115.0,0,1,0,1,0
gripper_close_pose,320.0,56.346557768480764,115.0,1,0,0,1,0
pick_lift,123.10610220199527,21.67689093555382,210.0,1,0,0,0,0
place_transfer_base_only,0.0,220.0,210.0,1,0,0,1,1
place_approach,0.0,250.0,210.0,1,0,0,1,0
place_final,0.0,250.0,140.0,1,0,0,1,0
gripper_open_pose,0.0,250.0,140.0,0,0,1,1,0
place_backoff,0.0,200.0,140.0,0,0,1,1,0
place_retreat,0.0,220.0,240.0,0,0,1,1,0
