label,x_mm,y_mm,z_mm,held_book_visible,return_book_visible,placed_book_visible,horizontal_end_link,base_only_from_previous
pick_approach,250.0,17.557391385936867,235.0,0,1,0,1,0
pick,250.0,17.557391385936867,115.0,0,1,0,1,0
gripper_close_pose,250.0,17.557391385936867,115.0,1,0,0,1,0
pick_lift,109.72972880891231,7.706271181483142,210.0,1,0,0,0,0
place_transfer_base_only,30.0,220.0,210.0,1,0,0,1,1
place_approach,30.0,250.0,210.0,1,0,0,1,0
place_final,30.0,250.0,130.0,1,0,0,1,0
gripper_open_pose,30.0,250.0,130.0,0,0,1,1,0
place_retreat,30.0,220.0,230.0,0,0,1,1,0
