x_mm,y_mm,z_mm,held_book_visible,return_book_visible,placed_book_visible,horizontal_end_link,base_only_from_previous
218.0,120.23,215.0,0,1,0,1,0
218.0,120.23,115.0,0,1,0,1,0
218.0,120.23,115.0,1,0,0,1,0
218.0,120.23,160.0,1,0,0,1,0
156.70410860478273,86.42447237409645,160.0,1,0,0,1,0
-40.0,220.0,160.0,1,0,0,1,1
-40.0,260.0,160.0,1,0,0,1,0
-40.0,260.0,124.25,1,0,0,1,0
-40.0,260.0,124.25,0,0,1,1,0
-40.0,220.0,160.0,0,0,1,1,0
