label,x_mm,y_mm,z_mm,held_book_visible,return_book_visible,placed_book_visible,horizontal_end_link,base_only_from_previous
pick_approach,250.0,-20.205483317081768,235.0,0,1,0,1,0
pick,250.0,-20.205483317081768,115.0,0,1,0,1,0
gripper_close_pose,250.0,-20.205483317081768,115.0,1,0,0,1,0
pick_lift,109.64248041831519,-8.861517235742928,210.0,1,0,0,0,0
place_transfer_base_only,45.0,220.0,210.0,1,0,0,1,1
place_approach,45.0,250.0,210.0,1,0,0,1,0
place_final,45.0,250.0,130.0,1,0,0,1,0
gripper_open_pose,45.0,250.0,130.0,0,0,1,1,0
place_retreat,45.0,220.0,240.0,0,0,1,1,0
