x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,150.0,150.0,1,0,-44,1707,1425,1552,634,{#000P1707T1500!#001P1425T1500!#002P1552T1500!#003P0634T1500!}
-80.0,150.0,160.0,1,0,-40,1707,1467,1606,676,{#000P1707T1500!#001P1467T1500!#002P1606T1500!#003P0676T1500!}
-80.0,150.0,170.0,1,0,-36,1707,1501,1644,709,{#000P1707T1500!#001P1501T1500!#002P1644T1500!#003P0709T1500!}
-80.0,150.0,180.0,1,0,-33,1707,1491,1588,685,{#000P1707T1500!#001P1491T1500!#002P1588T1500!#003P0685T1500!}
-80.0,150.0,190.0,0,8,,,,,,
-80.0,150.0,200.0,0,8,,,,,,
-80.0,150.0,210.0,0,8,,,,,,
-80.0,150.0,220.0,0,8,,,,,,
-80.0,160.0,80.0,1,0,-45,1696,1594,2233,1139,{#000P1696T1500!#001P1594T1500!#002P2233T1500!#003P1139T1500!}
-80.0,160.0,90.0,1,0,-45,1696,1589,2172,1083,{#000P1696T1500!#001P1589T1500!#002P2172T1500!#003P1083T1500!}
-80.0,160.0,100.0,1,0,-45,1696,1578,2106,1027,{#000P1696T1500!#001P1578T1500!#002P2106T1500!#003P1027T1500!}
-80.0,160.0,110.0,1,0,-45,1696,1563,2033,970,{#000P1696T1500!#001P1563T1500!#002P2033T1500!#003P0970T1500!}
-80.0,160.0,120.0,1,0,-45,1696,1540,1949,909,{#000P1696T1500!#001P1540T1500!#002P1949T1500!#003P0909T1500!}
-80.0,160.0,130.0,1,0,-45,1696,1508,1847,839,{#000P1696T1500!#001P1508T1500!#002P1847T1500!#003P0839T1500!}
-80.0,160.0,140.0,1,0,-45,1696,1456,1702,745,{#000P1696T1500!#001P1456T1500!#002P1702T1500!#003P0745T1500!}
-80.0,160.0,150.0,1,0,-43,1696,1422,1586,678,{#000P1696T1500!#001P1422T1500!#002P1586T1500!#003P0678T1500!}
-80.0,160.0,160.0,1,0,-39,1696,1464,1640,720,{#000P1696T1500!#001P1464T1500!#002P1640T1500!#003P0720T1500!}
-80.0,160.0,170.0,1,0,-36,1696,1459,1594,701,{#000P1696T1500!#001P1459T1500!#002P1594T1500!#003P0701T1500!}
-80.0,160.0,180.0,1,0,-32,1696,1498,1648,745,{#000P1696T1500!#001P1498T1500!#002P1648T1500!#003P0745T1500!}
-80.0,160.0,190.0,0,8,,,,,,
-80.0,160.0,200.0,0,8,,,,,,
-80.0,160.0,210.0,0,8,,,,,,
-80.0,160.0,220.0,0,8,,,,,,
-80.0,170.0,80.0,1,0,-45,1686,1558,2206,1148,{#000P1686T1500!#001P1558T1500!#002P2206T1500!#003P1148T1500!}
-80.0,170.0,90.0,1,0,-45,1686,1553,2145,1092,{#000P1686T1500!#001P1553T1500!#002P2145T1500!#003P1092T1500!}
-80.0,170.0,100.0,1,0,-45,1686,1543,2079,1035,{#000P1686T1500!#001P1543T1500!#002P2079T1500!#003P1035T1500!}
-80.0,170.0,110.0,1,0,-45,1686,1528,2004,976,{#000P1686T1500!#001P1528T1500!#002P2004T1500!#003P0976T1500!}
-80.0,170.0,120.0,1,0,-45,1686,1505,1917,912,{#000P1686T1500!#001P1505T1500!#002P1917T1500!#003P0912T1500!}
-80.0,170.0,130.0,1,0,-45,1686,1471,1808,837,{#000P1686T1500!#001P1471T1500!#002P1808T1500!#003P0837T1500!}
-80.0,170.0,140.0,1,0,-45,1686,1406,1631,724,{#000P1686T1500!#001P1406T1500!#002P1631T1500!#003P0724T1500!}
-80.0,170.0,150.0,1,0,-42,1686,1410,1598,710,{#000P1686T1500!#001P1410T1500!#002P1598T1500!#003P0710T1500!}
-80.0,170.0,160.0,1,0,-39,1686,1402,1540,682,{#000P1686T1500!#001P1402T1500!#002P1540T1500!#003P0682T1500!}
-80.0,170.0,170.0,1,0,-35,1686,1457,1631,748,{#000P1686T1500!#001P1457T1500!#002P1631T1500!#003P0748T1500!}
-80.0,170.0,180.0,1,0,-32,1686,1455,1595,736,{#000P1686T1500!#001P1455T1500!#002P1595T1500!#003P0736T1500!}
-80.0,170.0,190.0,0,8,,,,,,
-80.0,170.0,200.0,0,8,,,,,,
-80.0,170.0,210.0,0,8,,,,,,
-80.0,170.0,220.0,0,8,,,,,,
-80.0,180.0,80.0,1,0,-45,1677,1521,2174,1153,{#000P1677T1500!#001P1521T1500!#002P2174T1500!#003P1153T1500!}
-80.0,180.0,90.0,1,0,-45,1677,1517,2113,1096,{#000P1677T1500!#001P1517T1500!#002P2113T1500!#003P1096T1500!}
-80.0,180.0,100.0,1,0,-45,1677,1507,2046,1038,{#000P1677T1500!#001P1507T1500!#002P2046T1500!#003P1038T1500!}
-80.0,180.0,110.0,1,0,-45,1677,1491,1969,977,{#000P1677T1500!#001P1491T1500!#002P1969T1500!#003P0977T1500!}
-80.0,180.0,120.0,1,0,-45,1677,1467,1878,910,{#000P1677T1500!#001P1467T1500!#002P1878T1500!#003P0910T1500!}
-80.0,180.0,130.0,1,0,-45,1677,1429,1757,827,{#000P1677T1500!#001P1429T1500!#002P1757T1500!#003P0827T1500!}
-80.0,180.0,140.0,1,0,-44,1677,1384,1618,741,{#000P1677T1500!#001P1384T1500!#002P1618T1500!#003P0741T1500!}
-80.0,180.0,150.0,1,0,-41,1677,1392,1596,734,{#000P1677T1500!#001P1392T1500!#002P1596T1500!#003P0734T1500!}
-80.0,180.0,160.0,1,0,-38,1677,1394,1564,721,{#000P1677T1500!#001P1394T1500!#002P1564T1500!#003P0721T1500!}
-80.0,180.0,170.0,1,0,-34,1677,1447,1651,785,{#000P1677T1500!#001P1447T1500!#002P1651T1500!#003P0785T1500!}
-80.0,180.0,180.0,1,0,-31,1677,1451,1631,783,{#000P1677T1500!#001P1451T1500!#002P1631T1500!#003P0783T1500!}
-80.0,180.0,190.0,0,8,,,,,,
-80.0,180.0,200.0,0,8,,,,,,
-80.0,180.0,210.0,0,8,,,,,,
-80.0,180.0,220.0,0,8,,,,,,
-80.0,190.0,80.0,1,0,-45,1669,1484,2137,1153,{#000P1669T1500!#001P1484T1500!#002P2137T1500!#003P1153T1500!}
-80.0,190.0,90.0,1,0,-45,1669,1480,2076,1096,{#000P1669T1500!#001P1480T1500!#002P2076T1500!#003P1096T1500!}
-80.0,190.0,100.0,1,0,-45,1669,1470,2007,1037,{#000P1669T1500!#001P1470T1500!#002P2007T1500!#003P1037T1500!}
-80.0,190.0,110.0,1,0,-45,1669,1453,1927,973,{#000P1669T1500!#001P1453T1500!#002P1927T1500!#003P0973T1500!}
-80.0,190.0,120.0,1,0,-45,1669,1426,1828,901,{#000P1669T1500!#001P1426T1500!#002P1828T1500!#003P0901T1500!}
-80.0,190.0,130.0,1,0,-45,1669,1378,1683,804,{#000P1669T1500!#001P1378T1500!#002P1683T1500!#003P0804T1500!}
-80.0,190.0,140.0,1,0,-43,1669,1355,1590,749,{#000P1669T1500!#001P1355T1500!#002P1590T1500!#003P0749T1500!}
-80.0,190.0,150.0,1,0,-40,1669,1367,1580,749,{#000P1669T1500!#001P1367T1500!#002P1580T1500!#003P0749T1500!}
