x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,80.0,140.0,1,0,-45,1969,1410,2052,1141,{#000P1969T1500!#001P1410T1500!#002P2052T1500!#003P1141T1500!}
-160.0,80.0,160.0,1,0,-45,1969,1394,1931,1037,{#000P1969T1500!#001P1394T1500!#002P1931T1500!#003P1037T1500!}
-160.0,80.0,180.0,1,0,-45,1969,1344,1751,906,{#000P1969T1500!#001P1344T1500!#002P1751T1500!#003P0906T1500!}
-160.0,80.0,200.0,1,0,-39,1969,1317,1626,853,{#000P1969T1500!#001P1317T1500!#002P1626T1500!#003P0853T1500!}
-160.0,80.0,220.0,1,0,-30,1969,1314,1564,860,{#000P1969T1500!#001P1314T1500!#002P1564T1500!#003P0860T1500!}
-160.0,80.0,240.0,0,8,,,,,,
-160.0,80.0,260.0,0,8,,,,,,
-160.0,80.0,280.0,0,8,,,,,,
-160.0,80.0,300.0,0,8,,,,,,
-160.0,80.0,320.0,0,8,,,,,,
-160.0,100.0,0.0,0,8,,,,,,
-160.0,100.0,20.0,0,8,,,,,,
-160.0,100.0,40.0,0,8,,,,,,
-160.0,100.0,60.0,0,8,,,,,,
-160.0,100.0,80.0,0,8,,,,,,
-160.0,100.0,100.0,1,0,-45,1929,1346,2166,1319,{#000P1929T1500!#001P1346T1500!#002P2166T1500!#003P1319T1500!}
-160.0,100.0,120.0,1,0,-45,1929,1366,2093,1226,{#000P1929T1500!#001P1366T1500!#002P2093T1500!#003P1226T1500!}
-160.0,100.0,140.0,1,0,-45,1929,1368,1997,1128,{#000P1929T1500!#001P1368T1500!#002P1997T1500!#003P1128T1500!}
-160.0,100.0,160.0,1,0,-45,1929,1348,1867,1019,{#000P1929T1500!#001P1348T1500!#002P1867T1500!#003P1019T1500!}
-160.0,100.0,180.0,1,0,-45,1929,1273,1632,858,{#000P1929T1500!#001P1273T1500!#002P1632T1500!#003P0858T1500!}
-160.0,100.0,200.0,1,0,-37,1929,1259,1536,836,{#000P1929T1500!#001P1259T1500!#002P1536T1500!#003P0836T1500!}
-160.0,100.0,220.0,0,8,,,,,,
-160.0,100.0,240.0,0,8,,,,,,
-160.0,100.0,260.0,0,8,,,,,,
-160.0,100.0,280.0,0,8,,,,,,
-160.0,100.0,300.0,0,8,,,,,,
-160.0,100.0,320.0,0,8,,,,,,
-160.0,120.0,0.0,0,8,,,,,,
-160.0,120.0,20.0,0,8,,,,,,
-160.0,120.0,40.0,0,8,,,,,,
-160.0,120.0,60.0,0,8,,,,,,
-160.0,120.0,80.0,1,0,-45,1893,1270,2154,1384,{#000P1893T1500!#001P1270T1500!#002P2154T1500!#003P1384T1500!}
-160.0,120.0,100.0,1,0,-45,1893,1303,2100,1297,{#000P1893T1500!#001P1303T1500!#002P2100T1500!#003P1297T1500!}
-160.0,120.0,120.0,1,0,-45,1893,1319,2025,1205,{#000P1893T1500!#001P1319T1500!#002P2025T1500!#003P1205T1500!}
-160.0,120.0,140.0,1,0,-45,1893,1317,1923,1106,{#000P1893T1500!#001P1317T1500!#002P1923T1500!#003P1106T1500!}
-160.0,120.0,160.0,1,0,-45,1893,1286,1771,985,{#000P1893T1500!#001P1286T1500!#002P1771T1500!#003P0985T1500!}
-160.0,120.0,180.0,1,0,-42,1893,1216,1546,852,{#000P1893T1500!#001P1216T1500!#002P1546T1500!#003P0852T1500!}
-160.0,120.0,200.0,1,0,-33,1893,1249,1560,899,{#000P1893T1500!#001P1249T1500!#002P1560T1500!#003P0899T1500!}
-160.0,120.0,220.0,0,8,,,,,,
-160.0,120.0,240.0,0,8,,,,,,
-160.0,120.0,260.0,0,8,,,,,,
-160.0,120.0,280.0,0,8,,,,,,
-160.0,120.0,300.0,0,8,,,,,,
-160.0,120.0,320.0,0,8,,,,,,
-160.0,140.0,0.0,1,0,-45,1861,1004,2103,1598,{#000P1861T1500!#001P1004T1500!#002P2103T1500!#003P1598T1500!}
